City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description,Rain (last 3 hrs),Snow (last 3 hrs),Date
176,Pangnirtung,66.15,-65.71,28.0,92,92,2.8,CA,overcast clouds,0.0,0.0,2020-05-30 21:20:39
177,Pangnirtung,66.15,-65.71,28.0,92,92,2.8,CA,,,,2020-05-30 21:20:39
178,Torbay,47.67,-52.73,69.01,68,40,32.21,CA,scattered clouds,0.0,0.0,2020-05-30 21:19:46
179,Torbay,47.67,-52.73,69.01,68,40,32.21,CA,,,,2020-05-30 21:19:46
180,Kavieng,-2.57,150.8,82.65,76,25,5.46,PG,scattered clouds,0.0,0.0,2020-05-30 21:20:09
181,Kavieng,-2.57,150.8,82.65,76,25,5.46,PG,,,,2020-05-30 21:20:09
182,Wajir,1.75,40.06,80.35,64,72,14.16,KE,broken clouds,0.0,0.0,2020-05-30 21:27:58
183,Wajir,1.75,40.06,80.35,64,72,14.16,KE,,,,2020-05-30 21:27:58
184,Georgetown,5.41,100.34,80.6,94,20,2.24,MY,few clouds,0.0,0.0,2020-05-30 21:15:22
185,Georgetown,5.41,100.34,80.6,94,20,2.24,MY,,,,2020-05-30 21:15:22
186,Qaqortoq,60.72,-46.03,53.6,37,40,10.29,GL,scattered clouds,0.0,0.0,2020-05-30 21:24:07
187,Qaqortoq,60.72,-46.03,53.6,37,40,10.29,GL,,,,2020-05-30 21:24:07
188,Saint-Joseph,-21.37,55.62,69.8,68,1,5.82,RE,clear sky,0.0,0.0,2020-05-30 21:27:59
189,Saint-Joseph,-21.37,55.62,69.8,68,1,5.82,RE,,,,2020-05-30 21:27:59
190,Vostok,46.49,135.88,58.66,52,0,4.79,RU,clear sky,0.0,0.0,2020-05-30 21:24:04
191,Vostok,46.49,135.88,58.66,52,0,4.79,RU,,,,2020-05-30 21:24:04
192,Karratha,-20.74,116.85,74.07,36,77,13.94,AU,broken clouds,0.0,0.0,2020-05-30 21:20:25
193,Karratha,-20.74,116.85,74.07,36,77,13.94,AU,,,,2020-05-30 21:20:25
194,La Libertad,-2.23,-80.9,73.4,83,40,6.93,EC,scattered clouds,0.0,0.0,2020-05-30 21:27:59
195,La Libertad,-2.23,-80.9,73.4,83,40,6.93,EC,,,,2020-05-30 21:27:59
196,Kyra,49.58,111.98,35.73,83,0,3.83,RU,clear sky,0.0,0.0,2020-05-30 21:27:59
197,Kyra,49.58,111.98,35.73,83,0,3.83,RU,,,,2020-05-30 21:27:59
