City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Berezovyy,RU,2020-05-27 20:18:55,51.67,135.7,52.03,80,3,0.4
178,Juneau,US,2020-05-27 20:15:05,58.3,-134.42,55.4,47,20,9.17
179,Tazovskiy,RU,2020-05-27 20:18:55,67.47,78.7,37.6,79,0,7.61
180,Cherskiy,RU,2020-05-27 20:18:55,68.75,161.3,48.94,49,0,14.07
181,Beatrice,US,2020-05-27 20:18:55,40.27,-96.75,73.4,60,90,12.75
182,Namatanai,PG,2020-05-27 20:18:55,-3.67,152.43,80.22,79,99,6.53
183,Fort Saint James,CA,2020-05-27 20:18:56,54.43,-124.25,65.77,26,0,2.68
184,Bagenalstown,IE,2020-05-27 20:18:56,52.7,-6.96,66.0,65,31,3.8
185,Tutoia,BR,2020-05-27 20:18:56,-2.76,-42.27,82.08,76,0,9.95
186,Omboue,GA,2020-05-27 20:18:56,-1.57,9.26,77.81,86,99,9.19
187,Labrea,BR,2020-05-27 20:18:56,-7.26,-64.8,89.35,46,100,3.42
188,San Cristobal,VE,2020-05-27 20:18:56,7.77,-72.22,96.8,30,40,17.22
189,Aksarka,RU,2020-05-27 20:18:56,66.56,67.8,46.53,55,100,7.11
190,Asau,RO,2020-05-27 20:18:56,46.43,26.4,52.0,93,75,4.7
191,New Norfolk,AU,2020-05-27 20:18:57,-42.78,147.06,48.0,80,62,1.01
192,Ratchaburi,TH,2020-05-27 20:18:57,13.58,99.53,78.26,79,67,4.83
193,Broome,US,2020-05-27 20:18:57,42.25,-75.83,82.99,50,1,9.17
194,Upernavik,GL,2020-05-27 20:18:57,72.79,-56.15,29.46,97,97,2.42
195,Camacha,PT,2020-05-27 20:18:57,33.08,-16.33,64.4,77,20,9.17
196,Ballina,AU,2020-05-27 20:18:57,-28.87,153.57,59.0,93,8,8.05
197,Antofagasta,CL,2020-05-27 20:16:43,-23.65,-70.4,64.4,68,20,11.41
198,Hambantota,LK,2020-05-27 20:18:58,6.12,81.12,81.14,83,92,16.75
199,Zyryanka,RU,2020-05-27 20:18:58,65.75,150.85,49.33,47,0,24.85
200,Belturbet,IE,2020-05-27 20:18:58,54.1,-7.45,57.0,73,100,3.0
201,Port Macquarie,AU,2020-05-27 20:17:17,-31.43,152.92,53.01,97,11,5.03
202,Verkh-Usugli,RU,2020-05-27 20:18:58,52.7,115.17,49.89,85,99,5.77
203,Cap Malheureux,MU,2020-05-27 20:18:58,-19.98,57.61,71.01,91,1,8.99
204,Villamontes,BO,2020-05-27 20:18:58,-21.25,-63.5,87.21,20,0,9.24
205,Thinadhoo,MV,2020-05-27 20:18:59,0.53,72.93,84.0,74,39,8.14
206,Rawson,AR,2020-05-27 20:18:59,-43.3,-65.1,56.59,39,96,11.18
207,Nandu,CN,2020-05-27 20:18:59,22.85,110.82,74.28,84,28,2.21
208,Lufilufi,WS,2020-05-27 20:18:59,-13.87,-171.6,84.22,72,75,12.64
209,Nome,US,2020-05-27 20:18:14,64.5,-165.41,44.01,93,90,6.93
210,Sitka,US,2020-05-27 20:18:16,57.05,-135.33,53.6,58,20,5.82
211,Ayan,RU,2020-05-27 20:18:59,56.45,138.17,36.27,96,99,5.5
212,Oriximina,BR,2020-05-27 20:19:00,-1.77,-55.87,86.59,66,59,5.08
213,Grobbendonk,BE,2020-05-27 20:19:00,51.19,4.74,61.0,58,14,8.05
214,Danville,US,2020-05-27 20:19:00,36.59,-79.39,75.2,73,75,10.29
215,Kijang,KR,2020-05-27 20:16:10,35.24,129.21,57.2,76,50,3.36
216,Asyut,EG,2020-05-27 20:19:00,27.18,31.18,80.6,39,0,11.41
217,Shache,CN,2020-05-27 20:19:00,38.42,77.24,72.86,19,0,5.08
218,Aljezur,PT,2020-05-27 20:19:01,37.32,-8.8,73.99,66,0,2.26
219,Victoria,HK,2020-05-27 20:17:39,22.29,114.16,80.01,88,43,3.0
220,Concordia,AR,2020-05-27 20:19:01,-31.39,-58.02,69.8,60,0,11.41
221,Cape Canaveral,US,2020-05-27 20:14:08,28.41,-80.6,78.8,83,75,4.7
222,Yatou,CN,2020-05-27 20:19:01,37.15,122.38,54.7,92,0,6.78
223,Trairi,BR,2020-05-27 20:19:01,-3.28,-39.27,79.97,80,31,6.11
224,Yerbogachen,RU,2020-05-27 20:19:01,61.28,108.01,34.02,93,100,10.92
225,Ilulissat,GL,2020-05-27 20:19:01,69.22,-51.1,35.6,64,75,4.7
226,Merauke,ID,2020-05-27 20:19:02,-8.47,140.33,77.68,87,38,13.29
227,Rio Cuarto,AR,2020-05-27 20:16:53,-33.13,-64.35,73.4,25,0,8.05
228,Cabedelo,BR,2020-05-27 20:19:02,-6.98,-34.83,84.2,74,40,6.93
229,Vao,NC,2020-05-27 20:19:02,-22.67,167.48,73.11,81,97,13.69
230,Karasjok,NO,2020-05-27 20:19:02,69.47,25.51,46.4,75,100,2.24
231,Georgetown,MY,2020-05-27 20:19:02,5.41,100.34,80.6,94,20,3.36
232,Ribeira Brava,PT,2020-05-27 20:19:02,32.65,-17.07,66.99,82,20,3.36
233,Maputo,MZ,2020-05-27 20:17:51,-25.97,32.59,64.4,55,97,3.36
234,Parana,AR,2020-05-27 20:19:03,-31.73,-60.52,73.99,39,0,1.99
235,Banda Aceh,ID,2020-05-27 20:19:03,5.56,95.32,81.0,79,93,6.53
236,Umm Kaddadah,SD,2020-05-27 20:19:03,13.6,26.69,90.19,11,0,4.09
237,Nikki,BJ,2020-05-27 20:19:03,9.94,3.21,82.22,66,71,3.09
238,Nautla,MX,2020-05-27 20:19:03,20.22,-96.78,90.46,55,23,13.85
239,Severo-Yeniseyskiy,RU,2020-05-27 20:19:03,60.37,93.04,31.96,95,0,3.47
240,Murray Bridge,AU,2020-05-27 20:19:03,-35.12,139.27,54.0,96,5,3.0
241,Tiksi,RU,2020-05-27 20:19:04,71.69,128.87,27.43,95,95,5.97
242,Burnie,AU,2020-05-27 20:19:04,-41.07,145.92,51.01,77,63,3.0
243,Erdaojiang,CN,2020-05-27 20:19:04,41.78,126.03,47.07,87,98,1.54
244,Sunel,IN,2020-05-27 20:19:04,24.37,75.97,89.87,41,1,22.53
245,Faribault,US,2020-05-27 20:19:04,44.3,-93.27,70.0,94,90,6.93
246,Qaanaaq,GL,2020-05-27 20:19:04,77.48,-69.36,31.41,93,98,8.03
247,Kita,ML,2020-05-27 20:19:05,13.03,-9.49,86.13,49,75,1.41
248,Coquimbo,CL,2020-05-27 20:19:05,-29.95,-71.34,62.6,59,96,10.29
249,Taltal,CL,2020-05-27 20:19:05,-25.4,-70.48,62.06,67,22,1.86
250,Lavrentiya,RU,2020-05-27 20:19:05,65.58,-171.0,33.69,94,100,12.17
251,San Pedro,PH,2020-05-27 20:18:19,14.35,121.02,80.6,88,20,1.12
252,Iranshahr,IR,2020-05-27 20:19:05,27.2,60.68,91.4,13,0,7.29
253,Salalah,OM,2020-05-27 20:19:05,17.02,54.09,82.4,88,75,5.82
254,Irati,BR,2020-05-27 20:19:05,-25.47,-50.65,60.1,61,0,1.28
255,Narsaq,GL,2020-05-27 20:19:06,60.92,-46.05,41.0,80,90,6.93
256,Gonbad-E Qabus,IR,2020-05-27 20:19:06,37.25,55.17,62.6,82,0,2.24
257,Aksum,ET,2020-05-27 20:19:06,14.12,38.72,72.52,38,68,2.82
258,Seguela,CI,2020-05-27 20:19:06,7.96,-6.67,78.21,80,44,1.03
259,Sola,VU,2020-05-27 20:19:06,-13.88,167.55,80.67,81,94,17.52
260,Grand Gaube,MU,2020-05-27 20:19:06,-20.01,57.66,72.0,92,1,8.99
261,Barda,AZ,2020-05-27 20:19:06,40.37,47.13,69.87,52,0,2.17
262,Lata,PT,2020-05-27 20:19:06,40.16,-8.33,82.0,61,6,11.99
263,Mpulungu,ZM,2020-05-27 20:19:07,-8.76,31.11,75.13,58,38,5.5
264,Nyurba,RU,2020-05-27 20:19:07,63.28,118.33,42.44,88,100,13.29
265,Pisco,PE,2020-05-27 20:19:07,-13.7,-76.22,69.01,72,20,8.05
266,Rey Bouba,CM,2020-05-27 20:19:07,8.67,14.18,86.97,54,88,2.75
267,Ancud,CL,2020-05-27 20:19:07,-41.87,-73.82,54.0,71,20,3.36
268,Atar,MR,2020-05-27 20:19:07,20.52,-13.05,93.76,11,0,6.11
269,Lagoa,PT,2020-05-27 20:19:07,39.05,-27.98,61.54,79,12,18.37
270,Iquique,CL,2020-05-27 20:15:20,-20.22,-70.14,69.8,60,75,9.17
271,Fort Nelson,CA,2020-05-27 20:19:08,58.81,-122.7,59.0,51,75,6.93
272,Cabo San Lucas,MX,2020-05-27 20:18:32,22.89,-109.91,84.2,44,5,10.29
273,Alexandria,EG,2020-05-27 20:15:39,31.22,29.96,69.8,68,40,6.93
274,Nuevo Progreso,MX,2020-05-27 20:19:08,23.17,-97.95,89.01,61,100,1.99
