City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
Maceio,BR,73.4,light rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
Tibu,CO,80.78,light rain,8.64,-72.74,Residencias Copetran
Kimbe,PG,76.86,few clouds,-5.55,150.14,Kimbe Bay Hotel
Canyon,US,89.01,clear sky,34.98,-101.92,Holiday Inn Express & Suites Canyon
College,US,79.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
Chabahar,IR,85.98,clear sky,25.29,60.64,هتل گدروشیا
Sola,VU,82.4,scattered clouds,-13.88,167.55,Leumerus Bungalows
Odweyne,SO,75.58,overcast clouds,9.41,45.06,Eng Hiirey House
Port Hedland,AU,71.6,broken clouds,-20.32,118.57,The Esplanade Hotel
Turbat,PK,79.68,clear sky,26.0,63.04,Mubashar Quarters
San Jose,US,71.6,broken clouds,37.34,-121.89,The Westin San Jose
Ibra,OM,82.94,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
Bani,DO,86.0,scattered clouds,18.28,-70.33,Hospedaje Henriquez
Sibolga,ID,77.05,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
Pemangkat,ID,77.67,light rain,1.17,108.97,Kost H.Syamsuddin
